РЕДКОСТИ,,,ПРЕДМЕТЫ,,,,,СУНДУКИ,,,,,,,
Название редкости,Вес редкости,,ID,Название,Базовый вес,Редкость,,Тип сундука,Обычный,Необычный,Редкий,Эпический,Легендарный,Цена,Предметов за сундук
Обычный,1.5,,1,1. Рой дронов,1,Необычный,,Бронзовый,1.5,1,0.6,0.3,0.1,$0.25,1
Необычный,1,,2,2. Мины,1,Обычный,,Серебряный,0.3,0.6,1,0.6,0.3,$1.00,2
Редкий,0.6,,3,3. Вертолет,1,Редкий,,Золотой,0.1,0.3,0.6,1,1.5,$3.00,5
Эпический,0.3,,4,4. Десант Джипов,1,Редкий,,,,,,,,,
Легендарный,0.1,,5,5. Десант БТР,1,Эпический,,,,,,,,,
,,,6,6. Десант танков,1,Легендарный,,,,,,,,,
,,,7,7. Десант пехоты,1,Обычный,,,,,,,,,
,,,8,8. Патроны - Hydra,1,Обычный,,,,,,,,,
,,,9,9. Патроны - Hellfire,1,Редкий,,,,,,,,,
,,,10,10. Патроны - Machine gun,1,Обычный,,,,,,,,,
,,,11,11. Истребитель Raptor,1,Эпический,,,,,,,,,
,,,12,12. ЭМИ,1,Редкий,,,,,,,,,
,,,13,13. Ремонтный дрон,1,Редкий,,,,,,,,,
,,,14,14. Отражающее поле,1,Эпический,,,,,,,,,
,,,15,15. Кассетная бомба,1,Легендарный,,,,,,,,,
